Issue Date,Tender,Security Type,Discount Rate,Interest Rate
01 Apr 2019,1635,364 DAY BILL,15.3235,18.0965
25 Mar 2019,1634,91 DAY BILL,14.1953,14.7176
25 Mar 2019,1634,182 DAY BILL,14.0914,15.1595
18 Mar 2019,1633,91 DAY BILL,14.1929,14.7150
18 Mar 2019,1633,182 DAY BILL,14.0833,15.1501
18 Mar 2019,1633,364 DAY BILL,15.3904,18.1899
11 Mar 2019,1632,2 YR FXR NOTE,19.7500,19.7500
11 Mar 2019,1632,91 DAY BILL,14.1855,14.7071
11 Mar 2019,1632,182 DAY BILL,14.0810,15.1475
11 Mar 2019,489,56 DAY BILL,15.6156,16.0000
04 Mar 2019,1631,91 DAY BILL,14.1868,14.7085
04 Mar 2019,1631,182 DAY BILL,14.0676,15.1320
04 Mar 2019,1631,364 DAY BILL,15.2749,18.0288
04 Mar 2019,488,56 DAY BILL,15.6156,16.0000
25 Feb 2019,1630,2 YR FXR NOTE,19.7500,19.7500
25 Feb 2019,1630,91 DAY BILL,14.1863,14.7079
25 Feb 2019,1630,182 DAY BILL,14.0680,15.1324
18 Feb 2019,1629,91 DAY BILL,14.1888,14.7106
18 Feb 2019,1629,182 DAY BILL,14.0623,15.1258
11 Feb 2019,1628,91 DAY BILL,14.1875,14.7092
11 Feb 2019,1628,182 DAY BILL,14.0864,15.1537
11 Feb 2019,1628,364 DAY BILL,15.3661,18.1560
04 Feb 2019,1627,91 DAY BILL,14.1752,14.6960
04 Feb 2019,1627,182 DAY BILL,14.0785,15.1446
04 Feb 2019,1627,364 DAY BILL,15.4516,18.2754
04 Feb 2019,1627,6 YR FXR BOND,21.0000,21.0000
28 Jan 2019,1626,91 DAY BILL,14.1771,14.6980
28 Jan 2019,1626,182 DAY BILL,14.0790,15.1451
28 Jan 2019,1626,364 DAY BILL,15.4051,18.2104
21 Jan 2019,1625,91 DAY BILL,14.1704,14.6908
21 Jan 2019,1625,182 DAY BILL,14.0505,15.1122
14 Jan 2019,1624,91 DAY BILL,14.1103,14.6263
14 Jan 2019,1624,182 DAY BILL,14.0283,15.0865
14 Jan 2019,1624,364 DAY BILL,14.2126,16.5672
07 Jan 2019,1623,91 DAY BILL,14.0824,14.5963
07 Jan 2019,1623,182 DAY BILL,13.9921,15.0446
07 Jan 2019,1623,2 YR FXR NOTE,19.7500,19.7500
07 Jan 2019,1623,3 YR FXR BOND,20.0000,20.0000
31 Dec 2018,1622,91 DAY BILL,14.0806,14.5944
31 Dec 2018,1622,182 DAY BILL,13.9769,15.0271
31 Dec 2018,1622,1 YR FXR NOTE,15.5000,15.5000
24 Dec 2018,1621,91 DAY BILL,14.0530,14.5646
24 Dec 2018,1621,182 DAY BILL,14.0397,15.0996
17 Dec 2018,1620,91 DAY BILL,14.0501,14.5616
17 Dec 2018,1620,182 DAY BILL,13.9587,15.0060
17 Dec 2018,1620,1 YR FXR NOTE,15.5000,15.5000
10 Dec 2018,1619,2 YR FXR NOTE,19.5000,19.5000
10 Dec 2018,1619,91 DAY BILL,14.0180,14.5271
10 Dec 2018,1619,182 DAY BILL,13.9186,14.9597
03 Dec 2018,1618,91 DAY BILL,13.9743,14.4802
03 Dec 2018,1618,182 DAY BILL,13.7998,14.8226
03 Dec 2018,1618,1 YR FXR NOTE,15.5000,15.5000
26 Nov 2018,1617,182 DAY BILL,13.7889,14.8100
26 Nov 2018,1617,91 DAY BILL,13.8925,14.3924
19 Nov 2018,1616,91 DAY BILL,13.9218,14.4239
19 Nov 2018,1616,182 DAY BILL,13.6182,14.6132
19 Nov 2018,1616,1 YR FXR NOTE,15.0000,15.0000
12 Nov 2018,1615,91 DAY BILL,13.9115,14.4128
12 Nov 2018,1615,182 DAY BILL,13.6442,14.6431
12 Nov 2018,1615,2 YR FXR NOTE,19.5000,19.5000
05 Nov 2018,1614,91 DAY BILL,13.6525,14.1349
05 Nov 2018,1614,182 DAY BILL,13.5185,14.4985
05 Nov 2018,1614,1 YR FXR NOTE,15.0000,15.0000
29 Oct 2018,1613,91 DAY BILL,13.4495,13.9174
